V1,V2,V3,V4,V5
105,1.1436,1.1313,1.1279,0.8743,0.70656
106,1.1447,1.1356,1.0989,0.8369,0.68498
107,1.1411,1.1416,1.0586,0.80451,0.66396
108,1.1359,1.147,1.0118,0.77644,0.64441
109,1.1316,1.1491,0.96331,0.75153,0.62809
110,1.1298,1.144,0.91675,0.72858,0.61788
111,1.1313,1.1279,0.8743,0.70656,0.61771
112,1.1356,1.0989,0.8369,0.68498,0.63172
113,1.1416,1.0586,0.80451,0.66396,0.66224
114,1.147,1.0118,0.77644,0.64441,0.70783
115,1.1491,0.96331,0.75153,0.62809,0.7634
116,1.144,0.91675,0.72858,0.61788,0.82272
117,1.1279,0.8743,0.70656,0.61771,0.88073
118,1.0989,0.8369,0.68498,0.63172,0.93442
119,1.0586,0.80451,0.66396,0.66224,0.98238
120,1.0118,0.77644,0.64441,0.70783,1.0242
121,0.96331,0.75153,0.62809,0.7634,1.0597
122,0.91675,0.72858,0.61788,0.82272,1.0893
123,0.8743,0.70656,0.61771,0.88073,1.1131
124,0.8369,0.68498,0.63172,0.93442,1.1315
125,0.80451,0.66396,0.66224,0.98238,1.145
126,0.77644,0.64441,0.70783,1.0242,1.1544
127,0.75153,0.62809,0.7634,1.0597,1.1612
128,0.72858,0.61788,0.82272,1.0893,1.1673
129,0.70656,0.61771,0.88073,1.1131,1.1753
130,0.68498,0.63172,0.93442,1.1315,1.1875
131,0.66396,0.66224,0.98238,1.145,1.2051
132,0.64441,0.70783,1.0242,1.1544,1.2265
133,0.62809,0.7634,1.0597,1.1612,1.2469
134,0.61788,0.82272,1.0893,1.1673,1.2591
135,0.61771,0.88073,1.1131,1.1753,1.2573
136,0.63172,0.93442,1.1315,1.1875,1.2394
137,0.66224,0.98238,1.145,1.2051,1.2073
138,0.70783,1.0242,1.1544,1.2265,1.1648
139,0.7634,1.0597,1.1612,1.2469,1.1158
140,0.82272,1.0893,1.1673,1.2591,1.0637
141,0.88073,1.1131,1.1753,1.2573,1.011
142,0.93442,1.1315,1.1875,1.2394,0.95947
143,0.98238,1.145,1.2051,1.2073,0.91039
144,1.0242,1.1544,1.2265,1.1648,0.86424
145,1.0597,1.1612,1.2469,1.1158,0.82098
146,1.0893,1.1673,1.2591,1.0637,0.77996
147,1.1131,1.1753,1.2573,1.011,0.74012
148,1.1315,1.1875,1.2394,0.95947,0.70044
149,1.145,1.2051,1.2073,0.91039,0.6606
150,1.1544,1.2265,1.1648,0.86424,0.62127
151,1.1612,1.2469,1.1158,0.82098,0.5839
152,1.1673,1.2591,1.0637,0.77996,0.55035
153,1.1753,1.2573,1.011,0.74012,0.52267
154,1.1875,1.2394,0.95947,0.70044,0.50324
155,1.2051,1.2073,0.91039,0.6606,0.49495
156,1.2265,1.1648,0.86424,0.62127,0.50105
157,1.2469,1.1158,0.82098,0.5839,0.5243
158,1.2591,1.0637,0.77996,0.55035,0.56538
159,1.2573,1.011,0.74012,0.52267,0.6215
160,1.2394,0.95947,0.70044,0.50324,0.68692
161,1.2073,0.91039,0.6606,0.49495,0.75501
162,1.1648,0.86424,0.62127,0.50105,0.82033
163,1.1158,0.82098,0.5839,0.5243,0.8793
164,1.0637,0.77996,0.55035,0.56538,0.92987
165,1.011,0.74012,0.52267,0.6215,0.971
166,0.95947,0.70044,0.50324,0.68692,1.0024
167,0.91039,0.6606,0.49495,0.75501,1.0242
168,0.86424,0.62127,0.50105,0.82033,1.0374
169,0.82098,0.5839,0.5243,0.8793,1.0431
170,0.77996,0.55035,0.56538,0.92987,1.0432
171,0.74012,0.52267,0.6215,0.971,1.0396
172,0.70044,0.50324,0.68692,1.0024,1.0348
173,0.6606,0.49495,0.75501,1.0242,1.0316
174,0.62127,0.50105,0.82033,1.0374,1.033
175,0.5839,0.5243,0.8793,1.0431,1.042
176,0.55035,0.56538,0.92987,1.0432,1.0601
177,0.52267,0.6215,0.971,1.0396,1.087
178,0.50324,0.68692,1.0024,1.0348,1.1191
179,0.49495,0.75501,1.0242,1.0316,1.1498
180,0.50105,0.82033,1.0374,1.033,1.1715
181,0.5243,0.8793,1.0431,1.042,1.1793
182,0.56538,0.92987,1.0432,1.0601,1.173
183,0.6215,0.971,1.0396,1.087,1.1556
184,0.68692,1.0024,1.0348,1.1191,1.1315
185,0.75501,1.0242,1.0316,1.1498,1.1046
186,0.82033,1.0374,1.033,1.1715,1.0781
187,0.8793,1.0431,1.042,1.1793,1.0541
188,0.92987,1.0432,1.0601,1.173,1.0338
189,0.971,1.0396,1.087,1.1556,1.0172
190,1.0024,1.0348,1.1191,1.1315,1.0034
191,1.0242,1.0316,1.1498,1.1046,0.99041
192,1.0374,1.033,1.1715,1.0781,0.97521
193,1.0431,1.042,1.1793,1.0541,0.95465
194,1.0432,1.0601,1.173,1.0338,0.92645
195,1.0396,1.087,1.1556,1.0172,0.89049
196,1.0348,1.1191,1.1315,1.0034,0.84919
197,1.0316,1.1498,1.1046,0.99041,0.80637
198,1.033,1.1715,1.0781,0.97521,0.76582
199,1.042,1.1793,1.0541,0.95465,0.73058
200,1.0601,1.173,1.0338,0.92645,0.70297
201,1.087,1.1556,1.0172,0.89049,0.68457
202,1.1191,1.1315,1.0034,0.84919,0.67617
203,1.1498,1.1046,0.99041,0.80637,0.67755
204,1.1715,1.0781,0.97521,0.76582,0.68754
205,1.1793,1.0541,0.95465,0.73058,0.7043
206,1.173,1.0338,0.92645,0.70297,0.72584
207,1.1556,1.0172,0.89049,0.68457,0.75062
208,1.1315,1.0034,0.84919,0.67617,0.77798
209,1.1046,0.99041,0.80637,0.67755,0.80834
210,1.0781,0.97521,0.76582,0.68754,0.84297
211,1.0541,0.95465,0.73058,0.7043,0.88304
212,1.0338,0.92645,0.70297,0.72584,0.92804
213,1.0172,0.89049,0.68457,0.75062,0.97497
214,1.0034,0.84919,0.67617,0.77798,1.0197
215,0.99041,0.80637,0.67755,0.80834,1.0589
216,0.97521,0.76582,0.68754,0.84297,1.0914
217,0.95465,0.73058,0.7043,0.88304,1.1175
218,0.92645,0.70297,0.72584,0.92804,1.1386
219,0.89049,0.68457,0.75062,0.97497,1.1564
220,0.84919,0.67617,0.77798,1.0197,1.1728
221,0.80637,0.67755,0.80834,1.0589,1.189
222,0.76582,0.68754,0.84297,1.0914,1.206
223,0.73058,0.7043,0.88304,1.1175,1.224
224,0.70297,0.72584,0.92804,1.1386,1.2427
225,0.68457,0.75062,0.97497,1.1564,1.2614
226,0.67617,0.77798,1.0197,1.1728,1.2788
227,0.67755,0.80834,1.0589,1.189,1.2929
228,0.68754,0.84297,1.0914,1.206,1.3004
229,0.7043,0.88304,1.1175,1.224,1.2965
230,0.72584,0.92804,1.1386,1.2427,1.2776
231,0.75062,0.97497,1.1564,1.2614,1.2436
232,0.77798,1.0197,1.1728,1.2788,1.1979
233,0.80834,1.0589,1.189,1.2929,1.145
234,0.84297,1.0914,1.206,1.3004,1.0887
235,0.88304,1.1175,1.224,1.2965,1.0316
236,0.92804,1.1386,1.2427,1.2776,0.97516
237,0.97497,1.1564,1.2614,1.2436,0.92005
238,1.0197,1.1728,1.2788,1.1979,0.86655
239,1.0589,1.189,1.2929,1.145,0.81466
240,1.0914,1.206,1.3004,1.0887,0.76439
241,1.1175,1.224,1.2965,1.0316,0.71583
242,1.1386,1.2427,1.2776,0.97516,0.66915
243,1.1564,1.2614,1.2436,0.92005,0.62464
244,1.1728,1.2788,1.1979,0.86655,0.58271
245,1.189,1.2929,1.145,0.81466,0.54395
246,1.206,1.3004,1.0887,0.76439,0.50931
247,1.224,1.2965,1.0316,0.71583,0.48016
248,1.2427,1.2776,0.97516,0.66915,0.45851
249,1.2614,1.2436,0.92005,0.62464,0.44705
250,1.2788,1.1979,0.86655,0.58271,0.44922
251,1.2929,1.145,0.81466,0.54395,0.4685
252,1.3004,1.0887,0.76439,0.50931,0.50693
253,1.2965,1.0316,0.71583,0.48016,0.5631
254,1.2776,0.97516,0.66915,0.45851,0.63157
255,1.2436,0.92005,0.62464,0.44705,0.70461
256,1.1979,0.86655,0.58271,0.44922,0.77492
257,1.145,0.81466,0.54395,0.4685,0.83738
258,1.0887,0.76439,0.50931,0.50693,0.88929
259,1.0316,0.71583,0.48016,0.5631,0.92977
260,0.97516,0.66915,0.45851,0.63157,0.95911
261,0.92005,0.62464,0.44705,0.70461,0.97824
262,0.86655,0.58271,0.44922,0.77492,0.98844
263,0.81466,0.54395,0.4685,0.83738,0.9912
264,0.76439,0.50931,0.50693,0.88929,0.9882
265,0.71583,0.48016,0.5631,0.92977,0.98139
266,0.66915,0.45851,0.63157,0.95911,0.97306
267,0.62464,0.44705,0.70461,0.97824,0.96593
268,0.58271,0.44922,0.77492,0.98844,0.96313
269,0.54395,0.4685,0.83738,0.9912,0.96785
270,0.50931,0.50693,0.88929,0.9882,0.98258
271,0.48016,0.5631,0.92977,0.98139,1.0081
272,0.45851,0.63157,0.95911,0.97306,1.0423
273,0.44705,0.70461,0.97824,0.96593,1.0799
274,0.44922,0.77492,0.98844,0.96313,1.1134
275,0.4685,0.83738,0.9912,0.96785,1.1367
276,0.50693,0.88929,0.9882,0.98258,1.1479
277,0.5631,0.92977,0.98139,1.0081,1.1487
278,0.63157,0.95911,0.97306,1.0423,1.1427
279,0.70461,0.97824,0.96593,1.0799,1.1335
280,0.77492,0.98844,0.96313,1.1134,1.1241
281,0.83738,0.9912,0.96785,1.1367,1.1168
282,0.88929,0.9882,0.98258,1.1479,1.1126
283,0.92977,0.98139,1.0081,1.1487,1.1119
284,0.95911,0.97306,1.0423,1.1427,1.1138
285,0.97824,0.96593,1.0799,1.1335,1.1165
286,0.98844,0.96313,1.1134,1.1241,1.1172
287,0.9912,0.96785,1.1367,1.1168,1.1126
288,0.9882,0.98258,1.1479,1.1126,1.0988
289,0.98139,1.0081,1.1487,1.1119,1.0732
290,0.97306,1.0423,1.1427,1.1138,1.0361
291,0.96593,1.0799,1.1335,1.1165,0.99148
292,0.96313,1.1134,1.1241,1.1172,0.94413
293,0.96785,1.1367,1.1168,1.1126,0.89822
294,0.98258,1.1479,1.1126,1.0988,0.85646
295,1.0081,1.1487,1.1119,1.0732,0.8203
296,1.0423,1.1427,1.1138,1.0361,0.79017
297,1.0799,1.1335,1.1165,0.99148,0.76566
298,1.1134,1.1241,1.1172,0.94413,0.74571
299,1.1367,1.1168,1.1126,0.89822,0.72894
300,1.1479,1.1126,1.0988,0.85646,0.714
301,1.1487,1.1119,1.0732,0.8203,0.69988
302,1.1427,1.1138,1.0361,0.79017,0.68628
303,1.1335,1.1165,0.99148,0.76566,0.67374
304,1.1241,1.1172,0.94413,0.74571,0.66382
305,1.1168,1.1126,0.89822,0.72894,0.65929
306,1.1126,1.0988,0.85646,0.714,0.66405
307,1.1119,1.0732,0.8203,0.69988,0.68213
308,1.1138,1.0361,0.79017,0.68628,0.71561
309,1.1165,0.99148,0.76566,0.67374,0.76249
310,1.1172,0.94413,0.74571,0.66382,0.81733
311,1.1126,0.89822,0.72894,0.65929,0.87401
312,1.0988,0.85646,0.714,0.66405,0.92803
313,1.0732,0.8203,0.69988,0.68213,0.97707
314,1.0361,0.79017,0.68628,0.71561,1.0204
315,0.99148,0.76566,0.67374,0.76249,1.058
316,0.94413,0.74571,0.66382,0.81733,1.0905
317,0.89822,0.72894,0.65929,0.87401,1.118
318,0.85646,0.714,0.66405,0.92803,1.1412
319,0.8203,0.69988,0.68213,0.97707,1.1603
320,0.79017,0.68628,0.71561,1.0204,1.1757
321,0.76566,0.67374,0.76249,1.058,1.1881
322,0.74571,0.66382,0.81733,1.0905,1.1986
323,0.72894,0.65929,0.87401,1.118,1.2088
324,0.714,0.66405,0.92803,1.1412,1.2208
325,0.69988,0.68213,0.97707,1.1603,1.2362
326,0.68628,0.71561,1.0204,1.1757,1.2547
327,0.67374,0.76249,1.058,1.1881,1.2726
328,0.66382,0.81733,1.0905,1.1986,1.2835
329,0.65929,0.87401,1.118,1.2088,1.2812
330,0.66405,0.92803,1.1412,1.2208,1.263
331,0.68213,0.97707,1.1603,1.2362,1.2301
332,0.71561,1.0204,1.1757,1.2547,1.1861
333,0.76249,1.058,1.1881,1.2726,1.1347
334,0.81733,1.0905,1.1986,1.2835,1.0792
335,0.87401,1.118,1.2088,1.2812,1.0223
336,0.92803,1.1412,1.2208,1.263,0.96571
337,0.97707,1.1603,1.2362,1.2301,0.91083
338,1.0204,1.1757,1.2547,1.1861,0.8584
339,1.058,1.1881,1.2726,1.1347,0.80876
340,1.0905,1.1986,1.2835,1.0792,0.76182
341,1.118,1.2088,1.2812,1.0223,0.71714
342,1.1412,1.2208,1.263,0.96571,0.6741
343,1.1603,1.2362,1.2301,0.91083,0.63233
344,1.1757,1.2547,1.1861,0.8584,0.59212
345,1.1881,1.2726,1.1347,0.80876,0.55437
346,1.1986,1.2835,1.0792,0.76182,0.5205
347,1.2088,1.2812,1.0223,0.71714,0.49219
348,1.2208,1.263,0.96571,0.6741,0.47156
349,1.2362,1.2301,0.91083,0.63233,0.46136
350,1.2547,1.1861,0.8584,0.59212,0.46506
351,1.2726,1.1347,0.80876,0.55437,0.48615
352,1.2835,1.0792,0.76182,0.5205,0.52651
353,1.2812,1.0223,0.71714,0.49219,0.58418
354,1.263,0.96571,0.6741,0.47156,0.65303
355,1.2301,0.91083,0.63233,0.46136,0.72511
356,1.1861,0.8584,0.59212,0.46506,0.79358
357,1.1347,0.80876,0.55437,0.48615,0.85409
358,1.0792,0.76182,0.5205,0.52651,0.90456
359,1.0223,0.71714,0.49219,0.58418,0.94434
360,0.96571,0.6741,0.47156,0.65303,0.97361
361,0.91083,0.63233,0.46136,0.72511,0.99306
362,0.8584,0.59212,0.46506,0.79358,1.0038
363,0.80876,0.55437,0.48615,0.85409,1.0072
364,0.76182,0.5205,0.52651,0.90456,1.0049
365,0.71714,0.49219,0.58418,0.94434,0.999
366,0.6741,0.47156,0.65303,0.97361,0.9917
367,0.63233,0.46136,0.72511,0.99306,0.9858
368,0.59212,0.46506,0.79358,1.0038,0.98445
369,0.55437,0.48615,0.85409,1.0072,0.99081
370,0.5205,0.52651,0.90456,1.0049,1.0072
371,0.49219,0.58418,0.94434,0.999,1.0339
372,0.47156,0.65303,0.97361,0.9917,1.0682
373,0.46136,0.72511,0.99306,0.9858,1.104
374,0.46506,0.79358,1.0038,0.98445,1.1336
375,0.48615,0.85409,1.0072,0.99081,1.1517
376,0.52651,0.90456,1.0049,1.0072,1.157
377,0.58418,0.94434,0.999,1.0339,1.1519
378,0.65303,0.97361,0.9917,1.0682,1.1401
379,0.72511,0.99306,0.9858,1.104,1.1253
380,0.79358,1.0038,0.98445,1.1336,1.1106
381,0.85409,1.0072,0.99081,1.1517,1.0982
382,0.90456,1.0049,1.0072,1.157,1.0893
383,0.94434,0.999,1.0339,1.1519,1.0839
384,0.97361,0.9917,1.0682,1.1401,1.0813
385,0.99306,0.9858,1.104,1.1253,1.0794
386,1.0038,0.98445,1.1336,1.1106,1.0753
387,1.0072,0.99081,1.1517,1.0982,1.0654
388,1.0049,1.0072,1.157,1.0893,1.0461
389,0.999,1.0339,1.1519,1.0839,1.0159
390,0.9917,1.0682,1.1401,1.0813,0.97616
391,0.9858,1.104,1.1253,1.0794,0.93116
392,0.98445,1.1336,1.1106,1.0753,0.88547
393,0.99081,1.1517,1.0982,1.0654,0.84276
394,1.0072,1.157,1.0893,1.0461,0.80544
395,1.0339,1.1519,1.0839,1.0159,0.77487
396,1.0682,1.1401,1.0813,0.97616,0.75145
397,1.104,1.1253,1.0794,0.93116,0.73477
398,1.1336,1.1106,1.0753,0.88547,0.72369
399,1.1517,1.0982,1.0654,0.84276,0.71668
400,1.157,1.0893,1.0461,0.80544,0.71218
401,1.1519,1.0839,1.0159,0.77487,0.70904
402,1.1401,1.0813,0.97616,0.75145,0.70685
403,1.1253,1.0794,0.93116,0.73477,0.70632
404,1.1106,1.0753,0.88547,0.72369,0.70941
405,1.0982,1.0654,0.84276,0.71668,0.71938
406,1.0893,1.0461,0.80544,0.71218,0.74
407,1.0839,1.0159,0.77487,0.70904,0.77362
408,1.0813,0.97616,0.75145,0.70685,0.81894
409,1.0794,0.93116,0.73477,0.70632,0.87101
410,1.0753,0.88547,0.72369,0.70941,0.92397
411,1.0654,0.84276,0.71668,0.71938,0.97354
412,1.0461,0.80544,0.71218,0.74,1.0177
413,1.0159,0.77487,0.70904,0.77362,1.0561
414,0.97616,0.75145,0.70685,0.81894,1.0893
415,0.93116,0.73477,0.70632,0.87101,1.1182
416,0.88547,0.72369,0.70941,0.92397,1.1435
417,0.84276,0.71668,0.71938,0.97354,1.1658
418,0.80544,0.71218,0.74,1.0177,1.1856
419,0.77487,0.70904,0.77362,1.0561,1.2032
420,0.75145,0.70685,0.81894,1.0893,1.2191
421,0.73477,0.70632,0.87101,1.1182,1.2339
422,0.72369,0.70941,0.92397,1.1435,1.2485
423,0.71668,0.71938,0.97354,1.1658,1.2639
424,0.71218,0.74,1.0177,1.1856,1.2804
425,0.70904,0.77362,1.0561,1.2032,1.2958
426,0.70685,0.81894,1.0893,1.2191,1.305
427,0.70632,0.87101,1.1182,1.2339,1.3018
428,0.70941,0.92397,1.1435,1.2485,1.2829
429,0.71938,0.97354,1.1658,1.2639,1.2492
430,0.74,1.0177,1.1856,1.2804,1.204
431,0.77362,1.0561,1.2032,1.2958,1.1513
432,0.81894,1.0893,1.2191,1.305,1.0942
433,0.87101,1.1182,1.2339,1.3018,1.0352
434,0.92397,1.1435,1.2485,1.2829,0.97607
435,0.97354,1.1658,1.2639,1.2492,0.91797
436,1.0177,1.1856,1.2804,1.204,0.86172
437,1.0561,1.2032,1.2958,1.1513,0.80783
438,1.0893,1.2191,1.305,1.0942,0.75653
439,1.1182,1.2339,1.3018,1.0352,0.70783
440,1.1435,1.2485,1.2829,0.97607,0.66156
441,1.1658,1.2639,1.2492,0.91797,0.61758
442,1.1856,1.2804,1.204,0.86172,0.576
443,1.2032,1.2958,1.1513,0.80783,0.5374
444,1.2191,1.305,1.0942,0.75653,0.50281
445,1.2339,1.3018,1.0352,0.70783,0.47363
446,1.2485,1.2829,0.97607,0.66156,0.45175
447,1.2639,1.2492,0.91797,0.61758,0.43972
448,1.2804,1.204,0.86172,0.576,0.44092
449,1.2958,1.1513,0.80783,0.5374,0.45914
450,1.305,1.0942,0.75653,0.50281,0.49708
451,1.3018,1.0352,0.70783,0.47363,0.55386
452,1.2829,0.97607,0.66156,0.45175,0.62377
453,1.2492,0.91797,0.61758,0.43972,0.69821
454,1.204,0.86172,0.576,0.44092,0.76924
455,1.1513,0.80783,0.5374,0.45914,0.83169
456,1.0942,0.75653,0.50281,0.49708,0.88314
457,1.0352,0.70783,0.47363,0.55386,0.92302
458,0.97607,0.66156,0.45175,0.62377,0.95179
459,0.91797,0.61758,0.43972,0.69821,0.9704
460,0.86172,0.576,0.44092,0.76924,0.98013
461,0.80783,0.5374,0.45914,0.83169,0.98246
462,0.75653,0.50281,0.49708,0.88314,0.97906
463,0.70783,0.47363,0.55386,0.92302,0.97184
464,0.66156,0.45175,0.62377,0.95179,0.96302
465,0.61758,0.43972,0.69821,0.9704,0.95527
466,0.576,0.44092,0.76924,0.98013,0.95172
467,0.5374,0.45914,0.83169,0.98246,0.95567
468,0.50281,0.49708,0.88314,0.97906,0.96985
469,0.47363,0.55386,0.92302,0.97184,0.99523
470,0.45175,0.62377,0.95179,0.96302,1.0298
471,0.43972,0.69821,0.9704,0.95527,1.0683
472,0.44092,0.76924,0.98013,0.95172,1.1033
473,0.45914,0.83169,0.98246,0.95567,1.1288
474,0.49708,0.88314,0.97906,0.96985,1.1426
475,0.55386,0.92302,0.97184,0.99523,1.1464
476,0.62377,0.95179,0.96302,1.0298,1.1434
477,0.69821,0.9704,0.95527,1.0683,1.1372
478,0.76924,0.98013,0.95172,1.1033,1.1307
479,0.83169,0.98246,0.95567,1.1288,1.1261
480,0.88314,0.97906,0.96985,1.1426,1.1245
481,0.92302,0.97184,0.99523,1.1464,1.1262
482,0.95179,0.96302,1.0298,1.1434,1.1304
483,0.9704,0.95527,1.0683,1.1372,1.1354
484,0.98013,0.95172,1.1033,1.1307,1.1385
485,0.98246,0.95567,1.1288,1.1261,1.1365
486,0.97906,0.96985,1.1426,1.1245,1.1253
487,0.97184,0.99523,1.1464,1.1262,1.1019
488,0.96302,1.0298,1.1434,1.1304,1.0663
489,0.95527,1.0683,1.1372,1.1354,1.022
490,0.95172,1.1033,1.1307,1.1385,0.97404
491,0.95567,1.1288,1.1261,1.1365,0.92672
492,0.96985,1.1426,1.1245,1.1253,0.88288
493,0.99523,1.1464,1.1262,1.1019,0.84402
494,1.0298,1.1434,1.1304,1.0663,0.81058
495,1.0683,1.1372,1.1354,1.022,0.78217
496,1.1033,1.1307,1.1385,0.97404,0.75782
497,1.1288,1.1261,1.1365,0.92672,0.73625
498,1.1426,1.1245,1.1253,0.88288,0.71623
499,1.1464,1.1262,1.1019,0.84402,0.69689
500,1.1434,1.1304,1.0663,0.81058,0.67796
501,1.1307,1.1385,0.97404,0.75782,0.64422
502,1.1261,1.1365,0.92672,0.73625,0.63323
503,1.1245,1.1253,0.88288,0.71623,0.63059
504,1.1262,1.1019,0.84402,0.69689,0.64055
505,1.1304,1.0663,0.81058,0.67796,0.66631
506,1.1354,1.022,0.78217,0.65995,0.70772
507,1.1385,0.97404,0.75782,0.64422,0.76059
508,1.1365,0.92672,0.73625,0.63323,0.81869
509,1.1253,0.88288,0.71623,0.63059,0.87652
510,1.1019,0.84402,0.69689,0.64055,0.93055
511,1.0663,0.81058,0.67796,0.66631,0.97911
512,1.022,0.78217,0.65995,0.70772,1.0217
513,0.97404,0.75782,0.64422,0.76059,1.0583
514,0.92672,0.73625,0.63323,0.81869,1.0893
515,0.88288,0.71623,0.63059,0.87652,1.1147
516,0.84402,0.69689,0.64055,0.93055,1.1351
517,0.81058,0.67796,0.66631,0.97911,1.1507
518,0.78217,0.65995,0.70772,1.0217,1.1624
519,0.75782,0.64422,0.76059,1.0583,1.171
520,0.73625,0.63323,0.81869,1.0893,1.1784
521,0.71623,0.63059,0.87652,1.1147,1.1868
522,0.69689,0.64055,0.93055,1.1351,1.1985
523,0.67796,0.66631,0.97911,1.1507,1.215
